,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs,Duration (ms),genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
38,Cake By The Ocean,DNCE,DNCE,3Wv4X8OA65pGpFzBkuUgAh,76hfruVvmfQbw0eYn1nmeC,85,2016-11-18,True,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC,219147,"['dance pop', 'pop']",0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
39,Youngblood,5 Seconds of Summer,Youngblood (Deluxe),2D0Hi3Jj6RFnpWDcSa0Otu,2iUXsYOEPhVqEBwsqP70rE,85,2018-06-15,False,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,203418,"['boy band', 'pop']",0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274
40,Wildest Dreams,Taylor Swift,1989,2QJmrSgbdM35R67eoGQo4j,59HjlYCeBsxdI0fcm3zglw,73,2014-10-27,False,https://open.spotify.com/track/59HjlYCeBsxdI0fcm3zglw,220440,['pop'],0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056
41,INFERNO,"Sub Urban, Bella Poarch",HIVE,14qlU7pezYKrntRHxmYT8A,6e2YNCn1sP5eqnUe17vtxv,71,2022-06-03,False,https://open.spotify.com/track/6e2YNCn1sP5eqnUe17vtxv,133134,['modern indie pop'],0.82,0.611,9,-5.02,0,0.122,0.0766,2.5e-05,0.0684,0.637,127.883
42,Payphone,"Maroon 5, Wiz Khalifa",Overexposed (Deluxe),2pjfMmH52fryXVQuWTWOgP,4P0osvTXoSYZZC2n8IFH3c,75,2012-01-01,True,https://open.spotify.com/track/4P0osvTXoSYZZC2n8IFH3c,231387,['pop'],0.739,0.756,4,-4.828,1,0.0394,0.0136,0.0,0.37,0.523,110.028
43,Hate Me,"Ellie Goulding, Juice WRLD",Brightest Blue,44va7sFuK8IGzrj0BIX8kK,15og0pCEcTFWEXOFKdcJlU,77,,False,https://open.spotify.com/track/15og0pCEcTFWEXOFKdcJlU,188067,"['indietronica', 'metropopolis', 'pop', 'uk pop']",0.64,0.789,8,-4.891,1,0.0644,0.0875,0.0,0.147,0.762,75.018
44,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,7qEHsqek33rTcFNT9PFqLf,92,2019-05-17,False,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,182161,"['pop', 'uk pop']",0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
45,Sorry,Justin Bieber,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,09CtPGIpYB4BrO8qb1RGsF,87,2015-11-13,False,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,200787,"['canadian pop', 'pop']",0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945
46,Dynamite,Taio Cruz,Rokstarr,159jpldDCgsgH6KGgjy63c,1DqdF42leyFIzqNDv9CjId,75,2010-01-01,False,https://open.spotify.com/track/1DqdF42leyFIzqNDv9CjId,203867,"['dance pop', 'pop', 'pop rap']",0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968
47,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",6Phl1V5P0sPrWJytXHGFeO,0vbtURX4qv1l7besfwmnD8,84,2016-05-06,True,https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8,197933,"['dance pop', 'pop', 'pop dance', 'pop rap']",0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
48,Steal My Girl,One Direction,FOUR (Deluxe),4gCNyS7pidfK3rKWhB3JOY,2Bs4jQEGMycglOfWPBqrVG,83,2014-11-17,False,https://open.spotify.com/track/2Bs4jQEGMycglOfWPBqrVG,228133,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217
49,Sugar,Maroon 5,V,2Auw0pTT6EcQdvHNimhLQI,2iuZJX9X9P0GKaE93xcPjk,84,2014-09-02,True,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,235493,['pop'],0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076
